index,timestamp,0,1,2,3,4,5,6,7
0,1597653106624840,-1,-1,-1,-6,-6,0,-2,-1
1,1597653106624840,-2,0,1,3,7,0,0,1
2,1597653106626833,-1,1,-1,4,-1,1,-1,-2
3,1597653106626833,-2,-2,-3,-7,-3,-3,1,0
4,1597653106648571,1,-3,-5,-16,-6,-4,-1,-2
5,1597653106648571,-2,0,2,17,3,-1,-1,-2
6,1597653106650601,-1,1,3,9,3,-1,-2,-2
7,1597653106650601,1,-1,3,-5,-4,-1,-1,-1
8,1597653106662574,-3,0,-4,0,-1,-5,0,-2
9,1597653106662574,-2,-2,0,-11,-9,-2,-2,-1
10,1597653106668596,-1,-2,-3,-4,0,-2,0,-2
11,1597653106668596,0,-3,2,6,2,2,0,-1
12,1597653106685574,-1,0,-1,3,-1,-1,-2,0
13,1597653106685574,0,0,-3,-10,-3,-1,0,0
14,1597653106686908,-1,-1,-4,-3,-4,-1,0,-1
15,1597653106686908,-3,-1,-1,-2,0,-1,0,-2
16,1597653106707720,0,-2,-1,2,-1,-3,0,0
17,1597653106707720,-1,0,-2,-4,-2,0,-2,-2
18,1597653106709570,-2,-1,1,10,3,-1,0,-1
19,1597653106709570,0,-2,0,-5,-3,0,-2,-3
20,1597653106721561,-1,-1,-3,5,2,-1,0,0
21,1597653106721561,-3,0,-3,-12,-7,-3,-2,-2
22,1597653106728565,-2,-1,1,0,-2,0,-1,-1
23,1597653106728565,-2,-1,-2,3,2,-1,-3,-1
24,1597653106744705,-1,-1,1,4,-4,-1,0,-2
25,1597653106744705,-1,-1,-4,-6,4,0,-1,0
26,1597653106746706,0,-2,-3,-5,-6,-4,-1,-2
27,1597653106746706,-2,-1,-1,-1,-3,-2,-1,-1
28,1597653106767881,1,-2,1,7,1,0,-2,-2
29,1597653106767881,0,0,-1,-1,-2,-1,0,-1
30,1597653106769716,-2,-1,-2,-4,-3,-1,-2,0
31,1597653106769716,-1,0,-2,-16,-2,-2,-2,-3
32,1597653106781814,-1,-2,-1,18,5,0,-1,1
33,1597653106781814,-1,1,0,-6,-3,0,-1,1
34,1597653106788703,0,-3,0,-2,0,-1,-1,-1
35,1597653106788703,-1,-2,-1,1,-6,-1,-1,0
36,1597653106804728,-1,0,0,-3,4,1,2,-1
37,1597653106804728,-1,-2,0,2,-5,-2,0,0
38,1597653106806724,-2,-3,-3,-5,3,-3,-1,0
39,1597653106806724,-1,-2,-3,0,-2,-1,-1,-2
40,1597653106827711,1,0,-1,-2,1,-2,-2,-1
41,1597653106827711,0,-1,-2,1,-3,0,-2,-2
42,1597653106829707,-1,0,-3,-13,-5,-2,-2,0
43,1597653106829707,0,0,4,14,4,1,-1,-2
44,1597653106841992,-3,-2,0,6,1,1,-1,-2
45,1597653106841992,0,-3,0,-13,-6,-1,-2,0
46,1597653106849196,-3,-2,-1,3,3,-2,0,-1
47,1597653106849196,-1,-2,-5,-10,-6,-3,0,-1
48,1597653106865633,0,0,0,1,1,0,-1,-2
49,1597653106865633,-2,-3,-1,2,0,-1,-1,-2
50,1597653106867005,-1,1,-4,-10,-4,-1,-1,-2
51,1597653106867005,-1,-1,-1,1,-1,-1,-1,-2
52,1597653106888173,-1,-1,-1,-4,2,-2,-1,1
53,1597653106888173,-1,-1,-2,3,-4,-1,0,-2
54,1597653106889005,-1,-2,-2,-6,-4,-2,-2,-1
55,1597653106889005,-1,0,-2,-7,-5,-2,-1,-1
56,1597653106900984,-1,-1,0,13,3,0,-1,-2
57,1597653106900984,-1,0,3,3,6,2,-2,-1
58,1597653106910097,1,-2,-1,-2,-5,0,0,-1
59,1597653106910097,0,-2,-3,-5,1,-4,-1,-1
60,1597653106925564,1,-2,-2,-9,-6,-4,-1,0
61,1597653106925564,-1,-1,-3,3,-3,-2,-1,-2
62,1597653106926992,-2,-2,0,-15,-7,-1,-2,-2
63,1597653106926992,-1,-1,0,24,11,0,0,0
64,1597653106947546,0,0,1,-4,-7,-1,-1,-2
65,1597653106947546,2,-1,0,-3,7,-1,-1,0
66,1597653106949340,-1,-1,-4,-4,-11,-1,-1,-2
67,1597653106949340,-1,-2,0,-6,4,1,0,-1
68,1597653106961605,1,0,1,2,-4,-1,-1,-1
69,1597653106961605,-2,1,-1,0,-2,-3,0,0
