index,timestamp,0,1,2,3,4,5,6,7
0,1597982152285110,2,0,-1,-9,-13,-9,-3,-2
1,1597982152285110,2,-1,-3,-5,-19,-10,-2,0
2,1597982152286111,11,6,0,-2,0,5,0,2
3,1597982152286111,1,4,0,4,13,7,2,0
4,1597982152307117,-3,-9,3,-1,-4,0,-1,-2
5,1597982152307117,-4,1,0,-1,-3,-4,-2,0
6,1597982152309111,1,-2,2,4,-3,-9,-1,-3
7,1597982152309111,2,-7,-2,-7,2,4,0,2
8,1597982152321117,2,8,4,2,0,-3,0,1
9,1597982152321117,-14,-12,-1,-3,-1,4,0,-4
10,1597982152330108,0,8,-3,-4,-21,-7,-3,-1
11,1597982152330108,-5,-22,-3,3,10,1,0,-3
12,1597982152345108,-7,4,1,7,8,0,-1,-4
13,1597982152345108,15,3,-1,-3,-3,4,2,1
14,1597982152346118,-5,-2,-3,-8,-16,-15,-4,-2
15,1597982152346118,0,10,1,7,19,14,4,2
16,1597982152367111,2,-1,3,1,-9,5,1,0
17,1597982152367111,-3,-4,0,-1,3,-2,2,-1
18,1597982152369114,1,-2,0,6,23,11,1,2
19,1597982152369114,2,4,-1,-8,-21,-15,-2,-1
20,1597982152381127,-1,-6,0,0,-4,-5,-4,-1
21,1597982152381127,1,2,-7,-6,-15,-4,-4,0
22,1597982152390111,-4,-2,1,0,9,0,0,0
23,1597982152390111,-2,4,0,5,9,9,-1,1
24,1597982152405118,-5,-5,-3,-13,-8,-6,-1,-1
25,1597982152405118,-2,0,-2,-3,-10,-7,-1,0
26,1597982152406141,-2,-4,1,8,3,1,-1,-1
27,1597982152406141,2,2,-5,0,4,2,-1,0
28,1597982152427118,-7,-6,1,1,-5,1,1,0
29,1597982152427118,3,2,-1,-3,-4,-4,-2,-1
30,1597982152429112,0,-2,1,-6,0,-7,1,1
31,1597982152429112,-4,1,2,3,6,15,1,-1
32,1597982152441117,1,1,2,4,2,0,1,1
33,1597982152441117,-1,0,-3,-4,-5,-2,-1,-3
