index,timestamp,0,1,2,3,4,5,6,7
0,1597651928012813,2,-17,-45,-11,-6,0,2,-7
1,1597651928012813,-5,-3,19,-1,-7,3,-8,-14
2,1597651928014814,-27,2,-26,-3,-3,8,-1,-2
3,1597651928014814,33,-9,-39,5,5,7,2,8
4,1597651928035809,1,-2,7,6,4,0,3,3
5,1597651928035809,-57,7,-8,-10,-2,-6,-4,-17
6,1597651928038879,14,18,2,-3,-11,-4,1,13
7,1597651928038879,2,-60,-21,-5,14,7,4,8
8,1597651928050388,-1,-77,-3,0,-12,-1,-8,-21
9,1597651928050388,42,38,-4,2,-7,1,2,13
10,1597651928057066,-35,-51,24,-10,-5,-1,-9,-17
11,1597651928057066,-32,-3,-35,8,10,10,2,-2
12,1597651928073163,35,-4,0,5,2,-1,1,4
13,1597651928073163,10,38,98,6,-1,-2,1,8
14,1597651928074917,10,4,-19,-3,-2,0,-3,2
15,1597651928074917,6,12,-10,14,5,1,-1,-6
16,1597651928095909,2,-17,-17,-25,-1,2,0,3
17,1597651928095909,9,23,-9,12,2,5,4,2
18,1597651928096921,19,54,-21,-23,-4,0,7,10
19,1597651928096921,-19,-34,-21,0,1,-1,-7,-8
20,1597651928109915,42,64,5,29,19,7,6,19
21,1597651928109915,14,-6,8,-40,-30,-15,-11,-18
22,1597651928117157,-42,-4,35,16,3,2,1,0
23,1597651928117157,-7,15,-5,8,3,0,1,1
24,1597651928133148,-14,10,-4,-10,-8,-9,-3,-1
25,1597651928133148,-7,-2,-22,15,5,5,0,1
26,1597651928134911,29,-42,-3,2,5,2,2,5
27,1597651928134911,21,-89,3,-20,-12,-8,-3,-2
28,1597651928155916,-49,-20,-12,-10,-2,-2,-5,-15
29,1597651928155916,-9,-3,-21,9,6,0,-2,-4
30,1597651928157044,10,3,-12,-19,-15,-5,-2,4
31,1597651928157044,14,-4,-9,16,15,5,1,6
32,1597651928168933,-4,17,-32,-13,-17,-9,-1,-2
33,1597651928168933,0,-1,-29,-10,-12,-5,-7,-11
34,1597651928177919,-29,0,18,11,11,4,2,5
35,1597651928177919,21,71,-1,-8,-3,0,3,2
36,1597651928193971,4,-54,-69,-9,-2,-2,0,0
37,1597651928193971,-7,-9,-5,-16,-3,-2,-4,1
38,1597651928195045,30,3,18,12,2,1,8,11
39,1597651928195045,6,42,33,10,3,-7,-7,-16
40,1597651928214905,-20,40,11,7,-4,-2,-6,-15
41,1597651928214905,-1,3,-18,6,4,-1,1,3
42,1597651928216908,4,65,-27,-8,5,0,5,10
43,1597651928216908,-16,-1,-18,-3,-4,-1,2,3
44,1597651928228903,23,14,41,5,8,2,5,13
45,1597651928228903,-13,-24,-11,0,-7,-4,-5,-7
46,1597651928237984,-9,-6,-53,-18,-4,-5,-4,-7
47,1597651928237984,3,-11,3,-2,-2,-4,0,0
48,1597651928252904,6,4,14,4,-2,-2,-3,3
49,1597651928252904,12,76,73,7,7,4,4,4
50,1597651928254905,-2,-18,-1,7,-1,0,-1,0
51,1597651928254905,-6,-9,-42,-3,-2,-4,-3,-3
52,1597651928275908,17,-7,39,4,9,4,-1,1
53,1597651928275908,5,-27,-35,-12,-3,2,6,7
54,1597651928276925,1,-14,-4,14,-2,-2,-7,-8
55,1597651928276925,-46,4,20,-13,-3,2,-1,-1
56,1597651928297912,59,27,-47,3,1,-2,10,22
57,1597651928297912,-54,-25,-13,-9,-2,-9,-19,-38
58,1597651928299915,-3,-6,-4,-8,-7,3,-5,-14
59,1597651928299915,19,-5,-7,9,-1,0,6,10
60,1597651928313920,10,-15,-8,0,0,1,0,2
61,1597651928313920,31,-23,14,-2,2,0,2,15
62,1597651928314917,-22,-30,-66,-5,0,-1,-3,0
63,1597651928314917,2,39,44,1,-7,-6,-6,-14
64,1597651928335921,14,-19,13,1,-1,-1,-2,2
65,1597651928335921,-5,30,-49,2,3,3,6,7
66,1597651928337119,4,-8,12,1,2,1,0,-4
67,1597651928337119,30,57,27,-3,-5,-3,1,9
68,1597651928349105,-33,4,16,-3,2,-4,1,-1
69,1597651928349105,-18,-11,-56,3,-4,-14,-2,-13
70,1597651928358254,-2,-2,3,0,-1,-9,1,10
71,1597651928358254,32,-14,-42,1,8,-2,7,7
72,1597651928373108,4,21,20,-13,-14,-3,-3,-3
73,1597651928373108,-76,-27,10,9,4,5,-5,-10
74,1597651928374103,50,-7,52,8,5,4,7,6
75,1597651928374103,66,-37,-12,7,7,6,13,38
76,1597651928395792,-46,1,10,-7,-7,-8,-14,-37
77,1597651928395792,89,23,55,11,2,4,5,26
78,1597651928398792,57,64,14,5,4,1,-6,-2
79,1597651928398792,-48,-96,-41,-31,-15,4,7,1
80,1597651928409788,-82,-44,5,29,9,-1,-15,-31
81,1597651928409788,21,10,-60,-33,-11,-13,1,-9
82,1597651928419014,-62,26,18,20,5,-14,-16,-33
83,1597651928419014,110,4,-72,-17,-2,-3,10,52
84,1597651928432802,-98,17,72,-1,6,-7,-7,-34
85,1597651928432802,-32,-100,-56,6,6,-1,7,18
86,1597651928435787,66,36,106,-45,-23,-9,-12,0
87,1597651928435787,23,67,-62,-58,-29,-19,-5,2
88,1597651928457112,4,-47,-71,9,23,28,3,-36
89,1597651928457112,10,32,61,26,-24,-19,-36,-42
90,1597651928458229,-2,2,-8,19,-1,2,5,8
91,1597651928458229,70,12,98,45,28,13,18,61
92,1597651928469087,-10,0,-21,-32,-17,1,18,-15
93,1597651928469087,-58,-71,-18,-32,-18,-12,-25,-50
94,1597651928477999,-47,-57,23,59,2,-16,-61,-91
95,1597651928477999,2,22,-32,-57,1,6,4,-8
96,1597651928493158,125,-62,-6,20,-10,10,35,71
97,1597651928493158,-20,-52,17,33,33,30,38,42
98,1597651928493996,-11,49,-122,-77,-17,-12,-5,-5
99,1597651928493996,-66,-59,70,42,2,3,-29,-53
100,1597651928515104,65,60,102,-34,-15,-13,-9,10
101,1597651928515104,-17,24,-83,-11,-17,-8,-19,0
102,1597651928516994,28,-8,59,13,13,15,13,-20
103,1597651928516994,26,70,92,26,0,-9,4,-7
104,1597651928528994,-17,12,-82,39,15,9,25,47
105,1597651928528994,102,33,-23,-63,6,5,-12,12
106,1597651928538220,-128,-54,-85,18,-10,1,0,-12
107,1597651928538220,14,-6,73,-37,-30,-11,-16,-30
108,1597651928553070,90,-19,-24,7,-1,-3,-15,10
109,1597651928553070,-20,8,-30,-17,7,7,28,23
110,1597651928554695,127,65,55,75,10,11,26,93
111,1597651928554695,-128,-59,-75,-43,1,-9,-45,-120
112,1597651928575091,54,-13,-40,25,18,4,-7,-16
