index,timestamp,0,1,2,3,4,5,6,7
0,1596961730332852,0,1,0,3,26,14,1,-1
1,1596961730332852,-1,-3,-1,4,4,0,-1,-4
2,1596961730348860,0,-3,-1,0,0,-2,-4,0
3,1596961730348860,0,-3,-4,-3,-6,3,1,-2
4,1596961730350850,-1,-1,-3,-4,-17,-13,0,0
5,1596961730350850,-1,-2,0,-3,-9,-3,-1,-2
6,1596961730378852,0,0,0,1,3,3,-2,-1
7,1596961730378852,0,-2,-3,-1,20,3,0,-2
8,1596961730380850,-1,-1,-1,0,-18,-8,-2,-1
9,1596961730380850,-1,0,-1,-3,8,4,-4,1
10,1596961730385850,0,-3,1,-2,-10,-3,1,-1
11,1596961730385850,0,0,0,1,1,4,0,0
12,1596961730394859,-2,0,-1,0,13,-1,1,0
13,1596961730394859,-2,-1,-2,-1,-10,-1,0,1
14,1596961730408878,-2,-2,-1,-2,-1,-4,-3,-1
15,1596961730408878,-1,-2,-3,-2,-3,3,-1,0
16,1596961730410849,-2,-1,-2,-3,-5,-7,-2,-2
17,1596961730410849,-1,1,-1,-1,-2,-2,-2,-1
18,1596961730431850,0,-3,-3,-1,-1,-5,-3,-1
19,1596961730431850,0,0,3,0,-4,7,2,0
20,1596961730433850,-1,-1,-4,2,20,-4,2,0
21,1596961730433850,-3,-2,0,0,-9,5,0,-1
22,1596961730445850,0,-1,-3,-2,8,2,0,0
23,1596961730445850,-1,-1,0,-4,-11,-8,-5,-1
24,1596961730454909,0,-2,-1,-2,-13,-3,-1,-2
25,1596961730454909,0,-1,-2,-3,6,-1,-1,-1
26,1596961730468856,-1,0,0,-2,-6,-3,-3,-2
27,1596961730468856,-4,-2,-3,-1,10,-2,-1,-2
28,1596961730470855,0,0,2,-2,-42,-5,-1,-1
29,1596961730470855,-1,2,-4,4,45,4,-2,-2
30,1596961730491849,1,0,1,1,4,7,1,0
31,1596961730491849,0,-2,-2,-2,-8,-4,-1,1
32,1596961730493853,-3,-2,-3,-4,6,1,-2,-2
33,1596961730493853,-2,-1,-1,-5,-28,-10,-3,-1
34,1596961730505849,-1,0,-1,-2,-4,-3,-2,-2
35,1596961730505849,-1,-2,0,5,14,5,1,-2
36,1596961730514850,-1,-2,1,1,-3,-7,0,0
37,1596961730514850,0,1,-1,-1,-5,-2,-1,-2
38,1596961730528851,-2,0,-2,-2,7,5,1,-1
39,1596961730528851,-1,0,-1,-4,-5,-2,-2,-1
40,1596961730530852,-2,-2,-1,-2,1,-1,-1,0
41,1596961730530852,-1,-1,-2,-1,0,-2,-1,0
42,1596961730551852,-2,-3,1,0,1,-4,-1,-2
43,1596961730551852,-3,0,-1,-2,-4,-8,0,-3
44,1596961730553867,-1,0,-2,-2,-32,6,-1,0
45,1596961730553867,-1,1,-2,0,44,3,-2,-1
46,1596961730565857,-1,-2,0,0,-26,-3,-1,-2
47,1596961730565857,-1,-2,-1,3,6,0,-1,-2
48,1596961730574852,-1,-1,0,2,16,-4,-1,-1
49,1596961730574852,-1,-4,-1,-2,-20,2,0,0
50,1596961730588850,-3,-2,-1,-2,0,-3,-1,0
51,1596961730588850,-1,2,2,-2,1,2,-1,0
52,1596961730590850,-1,-2,0,-2,1,-1,-3,0
53,1596961730590850,-2,-2,3,-5,-36,-4,-1,-1
54,1596961730611849,-1,-2,0,1,41,-7,-1,-2
55,1596961730611849,0,-6,-9,1,-18,10,1,0
56,1596961730613853,0,3,5,2,7,-6,0,-1
57,1596961730613853,0,-1,16,1,2,3,-2,-1
58,1596961730625851,-2,-3,-37,-3,-22,-5,-1,-2
59,1596961730625851,-2,2,13,-2,14,-2,-2,-2
60,1596961730634851,-4,-4,-15,-2,0,1,-3,-2
61,1596961730634851,0,-1,-5,-1,-7,1,1,-2
62,1596961730648853,1,-2,16,-11,-6,-2,-3,1
63,1596961730648853,-2,-1,-21,11,0,-3,-3,-2
64,1596961730650849,-1,-4,10,-7,0,-4,-5,1
65,1596961730650849,-2,-7,-13,5,0,3,-3,-12
66,1596961730671852,1,7,-20,-6,-4,13,-1,-3
67,1596961730671852,-5,-6,46,2,0,-10,21,19
68,1596961730673850,1,8,28,15,-1,-10,-3,-9
69,1596961730673850,-2,0,-21,-6,2,10,16,22
70,1596961730685851,1,-3,8,-12,-10,2,-8,5
71,1596961730685851,2,-4,-25,-8,-1,-5,-15,-13
72,1596961730695848,-2,-8,-21,10,18,6,-3,1
73,1596961730695848,0,0,12,-6,-13,-17,6,-8
74,1596961730708852,-2,1,1,-3,17,13,7,3
75,1596961730708852,-1,4,3,29,-44,-9,-6,3
76,1596961730710852,-1,-1,-5,-47,28,-5,-3,-8
77,1596961730710852,1,-3,-5,32,23,10,-1,-2
78,1596961730731853,-5,-3,16,3,-19,-5,-1,-1
79,1596961730731853,-3,-3,-16,-15,20,4,-1,-8
80,1596961730733850,2,-3,-12,-8,-28,0,-21,-12
81,1596961730733850,3,7,9,-21,-19,-10,16,19
82,1596961730745852,-1,-6,-12,14,11,-12,-9,-8
83,1596961730745852,2,2,5,-5,-9,-1,-24,-3
84,1596961730754852,7,-1,-2,-2,0,6,-30,-19
85,1596961730754852,-7,39,4,5,-8,-13,-13,21
86,1596961730768851,0,-20,12,2,-14,-3,7,2
87,1596961730768851,-15,-28,-8,1,26,9,37,-1
88,1596961730775854,-22,-14,-19,-3,8,4,3,21
89,1596961730775854,10,-12,-14,6,-20,-12,-42,-21
90,1596961730791851,-4,32,21,-2,6,3,9,-31
91,1596961730791851,18,20,26,-13,12,15,72,15
92,1596961730793856,12,7,-27,-11,-11,-2,61,37
93,1596961730793856,-9,-16,15,-7,3,-7,-72,-16
94,1596961730805859,-4,-4,17,-13,-17,-27,-16,-20
95,1596961730805859,3,6,5,18,11,27,-34,-54
96,1596961730814853,1,1,15,18,1,-5,70,30
97,1596961730814853,0,-13,-31,-9,-9,14,61,-28
98,1596961730828851,4,-8,-15,9,31,-7,-91,27
99,1596961730828851,-5,4,22,-3,-19,-18,-8,26
100,1596961730835853,-2,-5,1,1,-15,-20,-14,-37
101,1596961730835853,-6,-14,5,-2,-2,8,8,13
102,1596961730851851,-1,3,-10,-12,-8,4,5,-15
103,1596961730851851,3,-8,-11,-5,0,-1,21,10
104,1596961730853851,3,13,-10,14,-1,3,-47,1
105,1596961730853851,-10,0,-14,-32,-3,-26,18,-12
106,1596961730873851,-7,-17,13,6,4,17,42,7
107,1596961730873851,-4,3,-19,3,2,-6,-24,10
108,1596961730875852,5,-9,1,16,6,-1,-26,-13
109,1596961730875852,4,22,65,-32,-10,-29,-25,-20
110,1596961730888851,5,14,39,28,11,27,48,-17
111,1596961730888851,-2,3,-12,-17,-46,7,17,51
112,1596961730895856,1,2,26,21,61,23,55,7
113,1596961730895856,-11,-34,-29,9,-7,-3,-86,-19
114,1596961730911852,-8,-20,-16,-9,-11,-31,-27,-25
115,1596961730911852,2,-1,17,4,5,-23,-42,-20
116,1596961730913852,-5,10,-10,-18,-25,4,5,2
117,1596961730913852,0,0,-3,-9,9,-11,22,30
118,1596961730933854,2,9,-5,10,-10,12,12,-2
119,1596961730933854,-4,-5,-16,41,12,9,-19,-14
120,1596961730935851,-4,-6,-32,-84,-25,-24,-49,-15
121,1596961730935851,-8,9,33,24,6,-14,8,-36
122,1596961730948854,5,-2,-5,-1,-6,6,10,32
123,1596961730948854,7,-6,-17,10,13,13,52,5
124,1596961730955852,-2,-7,49,18,0,9,-44,6
125,1596961730955852,2,-2,17,13,1,-11,62,-16
126,1596961730971850,-3,-3,-32,-24,-6,3,1,12
127,1596961730971850,-6,6,-12,-26,-8,-17,-5,-11
128,1596961730973855,-4,3,13,12,-12,-21,-24,-28
129,1596961730973855,1,-11,-75,-1,27,65,-3,47
130,1596961730993852,-25,0,-8,49,2,-23,82,-30
131,1596961730993852,17,-2,-1,-70,-20,3,-23,30
132,1596961730995849,2,-3,-43,10,10,-4,7,17
133,1596961730995849,7,12,25,-2,-3,3,67,-2
