index,timestamp,0,1,2,3,4,5,6,7
0,1597652907334009,-4,-4,-5,0,1,-1,-2,-4
1,1597652907334009,0,-1,0,1,-1,-2,0,-1
2,1597652907343142,-1,1,2,6,1,0,-2,-1
3,1597652907343142,4,1,-1,-7,-1,0,-3,-2
4,1597652907358026,-12,-20,-20,4,-2,0,1,-1
5,1597652907358026,-3,-2,1,-8,-1,0,-1,0
6,1597652907359152,-2,-4,4,3,0,-1,1,2
7,1597652907359152,-9,-2,-1,-5,1,0,0,-2
8,1597652907380206,0,3,5,12,-3,-2,-5,0
9,1597652907380206,2,1,2,13,0,-2,-2,-3
10,1597652907381333,-2,-3,-8,-4,0,-3,-1,2
11,1597652907381333,1,-4,1,0,-1,2,0,1
12,1597652907393229,3,3,-3,-11,1,1,1,-1
13,1597652907393229,1,-1,-3,-7,-4,-2,-3,4
14,1597652907404010,-2,0,3,5,1,1,-1,-3
15,1597652907404010,-3,-2,-7,-2,-1,-3,-3,-2
16,1597652907417867,0,2,3,0,2,1,1,-3
17,1597652907417867,0,-1,4,3,-2,-3,-2,-4
18,1597652907419004,-2,-1,-4,-7,-4,-1,-2,1
19,1597652907419004,4,-1,0,3,-1,-1,-2,-3
20,1597652907439997,-2,0,-1,-5,-1,-1,-2,2
21,1597652907439997,1,-1,-8,-1,1,1,0,4
22,1597652907442009,-4,-5,0,-10,-5,-3,-2,-10
23,1597652907442009,1,0,-16,-24,-1,0,2,4
24,1597652907453154,2,1,2,13,2,2,-1,-1
25,1597652907453154,-6,-4,18,12,1,-2,-1,-3
26,1597652907461996,-4,0,-4,5,-1,-2,0,-2
27,1597652907461996,-3,3,13,21,-3,-3,-2,-5
28,1597652907477221,-3,-3,-23,-46,-7,-3,-1,3
29,1597652907477221,4,3,-10,-10,-2,0,-1,0
30,1597652907479265,2,1,1,-2,-1,-2,1,6
31,1597652907479265,-9,-5,-6,-4,0,-1,-6,-12
32,1597652907500263,-1,-1,-2,0,-3,-2,4,-1
33,1597652907500263,-1,0,4,-1,-3,-2,0,-1
34,1597652907501514,-4,-1,-4,-6,-2,-3,-3,-8
35,1597652907501514,3,1,-1,6,0,0,1,3
36,1597652907513277,-3,2,10,8,-3,-2,-4,0
37,1597652907513277,-7,-6,2,3,2,0,-2,-3
38,1597652907522265,1,-2,-15,-25,3,3,1,0
39,1597652907522265,5,0,-2,11,-2,1,2,9
40,1597652907537282,-7,1,9,17,-1,-4,-6,-19
41,1597652907537282,0,-5,6,-3,-8,-6,-2,1
42,1597652907539627,0,-1,3,32,6,2,0,1
43,1597652907539627,5,6,-9,-8,1,1,-1,-3
44,1597652907560255,-18,-7,1,0,-7,-2,6,7
45,1597652907560255,14,5,-15,-6,7,3,-5,-13
46,1597652907561260,-8,3,4,13,-1,0,-4,-7
47,1597652907561260,-8,-3,13,30,-3,-6,-4,-8
48,1597652907573268,10,2,13,-1,2,-1,5,13
49,1597652907573268,-12,-4,-7,-1,-5,1,-1,-13
50,1597652907582379,18,-1,-14,-25,2,1,2,23
51,1597652907582379,9,1,-4,-15,-1,0,-5,13
52,1597652907597391,15,3,-8,-1,0,0,-2,-33
53,1597652907597391,-17,-4,8,6,1,-2,-3,5
54,1597652907599212,-14,-6,7,5,1,-1,-2,-2
55,1597652907599212,10,-2,2,-35,-9,-4,-7,-18
56,1597652907620216,12,6,-32,-35,7,5,9,27
57,1597652907620216,-5,-1,6,10,9,1,2,2
58,1597652907621216,-3,-5,45,56,-19,-12,-2,-13
59,1597652907621216,-3,-4,12,45,3,-3,1,15
60,1597652907633210,-9,-8,-35,-80,-2,-1,-8,-23
61,1597652907633210,4,7,-8,30,2,0,0,-17
62,1597652907642218,2,-3,3,2,7,3,9,20
63,1597652907642218,4,0,-9,-26,3,3,2,16
64,1597652907657223,-15,-9,-7,-11,-17,-9,-14,-25
65,1597652907657223,39,7,0,-25,0,2,13,5
66,1597652907659210,-45,-13,1,-3,-7,-9,-20,-12
67,1597652907659210,-4,1,-20,-33,-10,-6,-23,-15
68,1597652907680088,3,6,9,76,27,11,2,-12
69,1597652907680088,10,-2,12,-40,-24,-8,-3,31
70,1597652907682041,20,8,-32,-64,0,2,9,-31
71,1597652907682041,-4,-9,10,86,-5,-6,2,-14
72,1597652907694092,-3,5,23,14,-1,-5,-4,16
73,1597652907694092,-19,-8,-32,-30,3,2,-3,-8
74,1597652907702851,17,10,29,23,13,8,9,13
75,1597652907702851,-23,-9,9,-19,-13,-8,0,-5
76,1597652907718707,40,6,-5,6,-2,-2,-1,2
77,1597652907718707,-45,-19,-9,-10,-5,-5,-2,-8
78,1597652907723856,13,6,0,24,7,6,9,25
79,1597652907723856,5,0,-7,-30,12,6,-5,-7
80,1597652907741854,-21,-11,-22,-62,-13,-1,17,21
81,1597652907741854,23,-14,35,33,-16,-13,-29,-17
82,1597652907741854,9,0,-15,-2,-4,-6,4,17
83,1597652907741854,2,-1,4,-27,2,0,0,1
84,1597652907762102,-8,1,14,8,-5,-2,-8,-15
85,1597652907762102,-8,8,-25,9,18,10,6,-6
86,1597652907763859,-3,-5,-9,-48,-15,-9,-8,-15
87,1597652907763859,-8,-4,70,58,1,3,9,17
88,1597652907777635,-23,-11,-38,-33,-5,-3,7,20
89,1597652907777635,12,15,1,29,17,4,-7,-30
90,1597652907778567,-26,-9,15,-46,-15,-6,-2,3
91,1597652907778567,-2,-19,-51,-36,-4,-6,8,1
92,1597652907799990,-6,4,42,38,1,3,-9,0
93,1597652907799990,0,3,4,21,10,3,2,0
