index,timestamp,0,1,2,3,4,5,6,7
0,1596963865568635,-2,0,-1,-1,-2,0,-1,-3
1,1596963865583634,0,-1,-1,-2,-3,-1,0,0
2,1596963865583634,0,-1,-1,-1,-1,-1,0,-2
3,1596963865585635,-2,-4,-2,0,0,1,2,-1
4,1596963865585635,-3,-3,-1,-1,-1,-1,-1,-2
5,1596963865606633,-1,-1,-3,0,-3,-3,-2,-3
6,1596963865606633,-1,1,-2,-4,0,-1,-1,1
7,1596963865607634,2,-2,-1,-1,-1,-1,0,0
8,1596963865607634,-1,-1,-2,-2,-3,1,-1,-3
9,1596963865619634,-1,0,-1,0,-1,-1,-1,-2
10,1596963865619634,-1,-1,-1,0,-1,-1,0,0
11,1596963865628631,-1,-3,-1,-2,0,-1,-2,-1
12,1596963865628631,-4,-1,-2,0,-1,-1,-2,-1
13,1596963865643636,0,-3,-2,-1,-2,-2,-2,0
14,1596963865643636,-1,-2,0,0,-1,0,-1,-2
15,1596963865645664,-2,-1,-1,-1,-1,-2,0,-1
16,1596963865645664,-1,-1,-3,-1,-1,-1,-2,0
17,1596963865666639,-2,-2,-1,-1,-1,-2,-1,0
18,1596963865666639,0,-2,-1,-1,0,1,0,-2
19,1596963865667635,-3,-3,-1,-2,-2,-1,-3,1
20,1596963865667635,0,-3,-1,-1,-1,-1,1,-2
21,1596963865679640,-1,-2,-1,-3,-1,-2,0,-2
22,1596963865679640,-1,2,0,1,0,-2,-2,-2
23,1596963865688640,0,0,-2,1,-3,-1,-1,-2
24,1596963865688640,0,0,-1,-1,0,-1,-1,0
25,1596963865703633,-1,-2,-1,0,-1,-1,0,1
26,1596963865703633,0,-2,-1,-1,-1,0,-2,-1
27,1596963865705634,0,-2,-2,-2,1,-1,-3,-3
28,1596963865705634,-1,-2,-1,-1,-2,-2,-1,-1
29,1596963865726634,-2,0,0,0,-1,-1,-3,1
30,1596963865726634,-1,-2,0,0,0,-1,1,-1
31,1596963865727635,-3,-1,0,-1,0,-1,-3,0
32,1596963865727635,0,-1,1,-2,-2,0,-1,-1
33,1596963865739631,0,0,-1,-2,0,-1,-1,-2
34,1596963865739631,-1,0,0,0,-1,-2,-2,-1
35,1596963865748634,-1,-2,-1,-1,-2,0,-1,-3
36,1596963865748634,-4,-2,-2,-1,0,-2,-2,-1
37,1596963865763633,0,-1,-2,-1,-2,-1,-1,0
38,1596963865763633,-2,-1,-3,-2,0,-1,-1,-1
39,1596963865765633,0,-3,-2,0,-3,-1,-1,-1
40,1596963865765633,-1,0,-2,-1,-2,-1,0,-3
41,1596963865786633,0,-1,-1,-1,-1,-1,-3,-1
