index,timestamp,0,1,2,3,4,5,6,7
0,1597982564933720,-4,-15,-15,-5,-3,-4,-4,-2
1,1597982564933720,3,-7,-14,0,1,3,1,-3
2,1597982564934715,2,13,19,-2,-2,0,3,8
3,1597982564934715,0,6,7,3,-2,-2,-3,-1
4,1597982564956731,1,10,-18,4,2,3,6,1
5,1597982564956731,-6,-4,25,6,2,-4,-5,-5
6,1597982564957715,0,12,-3,-2,-3,1,0,0
7,1597982564957715,-3,10,-4,0,-1,-2,3,-3
8,1597982564969720,-3,12,12,1,-1,1,0,-3
9,1597982564969720,3,8,-8,-3,1,2,-1,1
10,1597982564976720,-4,-6,-8,1,5,4,5,0
11,1597982564976720,3,12,6,0,-1,-1,-5,-4
12,1597982564993720,0,17,5,0,-2,-12,-2,1
13,1597982564993720,5,-4,-14,0,-1,7,2,4
14,1597982564995721,-18,5,-5,-4,0,9,11,-1
15,1597982564995721,11,8,5,0,-3,-2,-2,0
16,1597982565015720,-3,3,0,0,-4,-5,-11,-3
17,1597982565015720,-3,4,5,-1,-4,-7,-4,0
18,1597982565017716,10,-1,-12,-9,-5,-6,-5,1
19,1597982565017716,-10,0,-5,1,-2,-1,-3,-6
20,1597982565029812,2,14,32,13,2,0,2,0
21,1597982565029812,0,-20,-18,-6,-1,0,1,-1
22,1597982565036812,-1,8,15,3,2,0,-2,1
23,1597982565036812,-4,-2,-12,-6,0,-2,0,-1
24,1597982565053810,3,9,1,2,1,0,-3,-1
25,1597982565053810,-5,-2,7,0,-2,-4,-2,-1
26,1597982565054808,-2,-6,-3,-2,0,-3,-3,-4
27,1597982565054808,1,2,-5,1,3,-1,4,0
28,1597982565075811,-3,-9,-1,-5,0,1,-2,-2
29,1597982565075811,-3,-7,-1,-3,-2,1,0,-4
30,1597982565077808,1,-5,-7,3,-3,-3,2,2
31,1597982565077808,0,2,6,0,0,2,3,0
32,1597982565089811,-5,-11,-1,-2,2,11,-3,-1
33,1597982565089811,-1,-4,-5,1,-2,-1,5,-1
34,1597982565096811,-1,-8,0,-2,-2,-4,-7,-1
35,1597982565096811,2,-2,1,0,2,7,10,5
36,1597982565113899,-3,1,13,0,-1,-11,-7,-1
37,1597982565113899,-1,-6,-14,-2,-2,-2,-4,-4
38,1597982565115890,0,-6,-2,2,0,-1,4,-3
39,1597982565115890,0,5,-1,-1,-2,-4,-8,-5
40,1597982565135979,3,3,-13,-6,-2,-3,9,7
41,1597982565135979,-1,-7,14,1,3,0,-2,2
42,1597982565136974,8,1,5,-1,-2,-3,0,1
43,1597982565136974,-15,7,4,3,1,3,-3,-5
44,1597982565150979,0,-9,-5,-4,-1,-6,-4,-2
45,1597982565150979,-2,-7,-7,-3,-5,-3,-3,-2
46,1597982565156979,0,-3,1,1,1,2,-1,1
47,1597982565156979,5,-8,2,-2,-3,-2,-6,1
48,1597982565172979,-1,11,11,1,-2,-2,0,-1
49,1597982565172979,-1,-5,-14,-5,-1,-8,0,2
50,1597982565174971,0,-6,-2,1,1,-3,-8,-2
51,1597982565174971,4,4,-7,-6,-1,3,13,4
52,1597982565195971,5,-8,-8,-3,-5,-2,-1,0
53,1597982565195971,0,-3,0,0,0,-5,-6,-3
54,1597982565197973,-2,-3,5,0,-2,-1,-2,-2
55,1597982565197973,0,3,-1,1,0,-2,0,1
56,1597982565209073,1,-13,-21,-11,-6,1,-1,-3
57,1597982565209073,0,-2,29,15,5,3,2,0
58,1597982565218073,-1,3,-31,-3,2,2,2,-2
59,1597982565218073,-8,-11,32,2,-2,-2,-2,-2
60,1597982565234073,0,1,-9,-1,0,3,1,-1
61,1597982565234073,-4,-6,-19,-2,0,-3,-8,-4
62,1597982565235085,-1,-1,-3,-9,0,3,3,1
63,1597982565235085,1,6,31,15,-1,1,-2,-1
64,1597982565256074,-5,-9,-1,-17,-4,-2,-7,-5
65,1597982565256074,0,-12,-1,3,-3,-1,5,0
66,1597982565257074,6,-4,4,-4,-4,-3,-1,1
67,1597982565257074,2,0,32,11,-2,-1,-1,-6
68,1597982565270074,-4,-1,-39,2,7,0,8,14
69,1597982565270074,7,-4,-5,-12,-2,4,-2,7
70,1597982565278076,-4,-9,1,2,-4,-7,-4,-2
71,1597982565278076,-3,-3,-24,-14,-5,-11,-11,-9
72,1597982565293074,1,-7,35,3,-5,-5,-3,-6
73,1597982565293074,-2,1,-25,2,2,11,5,0
74,1597982565295068,10,-6,11,3,0,0,-7,-2
75,1597982565295068,1,-2,-27,1,6,4,11,4
76,1597982565316073,-5,14,3,19,17,6,3,0
77,1597982565316073,-3,-29,4,-22,-14,-6,-14,-14
78,1597982565317076,-4,2,16,5,-1,0,8,8
79,1597982565317076,10,16,-18,6,-3,2,6,10
80,1597982565329076,-11,2,-49,-31,-8,-1,-8,-16
81,1597982565329076,-5,2,46,18,3,-11,-6,4
82,1597982565338068,-11,18,-6,11,4,10,5,-32
83,1597982565338068,11,10,-7,-4,-2,1,5,30
84,1597982565353064,-19,-11,10,10,4,-2,0,-10
85,1597982565353064,9,1,-37,-10,1,1,4,2
86,1597982565355066,14,-6,4,-23,-5,3,-3,-19
87,1597982565355066,-4,-23,6,5,0,6,-3,15
88,1597982565376070,-1,-11,-25,-4,-3,5,13,16
89,1597982565376070,-11,-15,32,17,0,-11,-17,0
90,1597982565377065,-28,12,-16,-5,5,9,22,2
91,1597982565377065,-2,27,27,10,10,6,6,-9
92,1597982565389073,6,27,-2,-16,-16,-11,-11,-4
93,1597982565389073,-5,16,-29,7,4,7,5,-1
94,1597982565398081,6,10,16,-2,-3,-4,-12,12
95,1597982565398081,4,38,-26,1,-1,7,7,-10
